# TR : TI EDGE EUTIO3 T=ROOM TEMP
# NSLS filename: tieu.300
# NSLS/X11 EDC-5.02 26-Apr-95 23:49:40 E- ENERGY=2.584GEV
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 4966.0 NREG= 3 NPTS= 356 NSCLRS= 4 EF=     .0
# SRB=   -207.0    -27.1     30.0    746.8
# DEL=           19.995     .305     .070K
# SEC=             1.000    1.000    1.000
# GAINS:    I0=8       It=9       If=10
# OFFSETS:  I0=51438   It=52000   If=47782
#---------------------------------------------------------------------
#     energy          xmu        
  0.4758985E+04   0.4984328E+00
  0.4778979E+04   0.4556435E+00
  0.4798972E+04   0.4134888E+00
  0.4818976E+04   0.3719289E+00
  0.4838963E+04   0.3308576E+00
  0.4858956E+04   0.2908663E+00
  0.4878951E+04   0.2519679E+00
  0.4898958E+04   0.2130618E+00
  0.4918951E+04   0.1755757E+00
  0.4938951E+04   0.1392750E+00
  0.4939247E+04   0.1387959E+00
  0.4939555E+04   0.1382341E+00
  0.4939851E+04   0.1377395E+00
  0.4940172E+04   0.1369968E+00
  0.4940468E+04   0.1364912E+00
  0.4940776E+04   0.1358183E+00
  0.4941073E+04   0.1354110E+00
  0.4941394E+04   0.1347102E+00
  0.4941690E+04   0.1343103E+00
  0.4941986E+04   0.1336639E+00
  0.4942295E+04   0.1332494E+00
  0.4942616E+04   0.1324350E+00
  0.4942913E+04   0.1319467E+00
  0.4943209E+04   0.1316713E+00
  0.4943518E+04   0.1310964E+00
  0.4943839E+04   0.1303988E+00
  0.4944124E+04   0.1300613E+00
  0.4944433E+04   0.1294693E+00
  0.4944742E+04   0.1289971E+00
  0.4945039E+04   0.1287332E+00
  0.4945348E+04   0.1280621E+00
  0.4945657E+04   0.1272909E+00
  0.4945954E+04   0.1269237E+00
  0.4946263E+04   0.1264596E+00
  0.4946572E+04   0.1258842E+00
  0.4946882E+04   0.1253152E+00
  0.4947179E+04   0.1248557E+00
  0.4947488E+04   0.1242486E+00
  0.4947785E+04   0.1239642E+00
  0.4948107E+04   0.1232567E+00
  0.4948404E+04   0.1227328E+00
  0.4948702E+04   0.1222333E+00
  0.4949011E+04   0.1216950E+00
  0.4949333E+04   0.1213752E+00
  0.4949618E+04   0.1207776E+00
  0.4949928E+04   0.1204083E+00
  0.4950238E+04   0.1197825E+00
  0.4950536E+04   0.1193912E+00
  0.4950845E+04   0.1189484E+00
  0.4951155E+04   0.1183628E+00
  0.4951453E+04   0.1178392E+00
  0.4951763E+04   0.1172349E+00
  0.4952061E+04   0.1170442E+00
  0.4952383E+04   0.1166009E+00
  0.4952668E+04   0.1161048E+00
  0.4952979E+04   0.1159984E+00
  0.4953289E+04   0.1153791E+00
  0.4953587E+04   0.1149603E+00
  0.4953897E+04   0.1143648E+00
  0.4954195E+04   0.1140213E+00
  0.4954518E+04   0.1136405E+00
  0.4954803E+04   0.1133730E+00
  0.4955114E+04   0.1130105E+00
  0.4955437E+04   0.1127262E+00
  0.4955723E+04   0.1124511E+00
  0.4956033E+04   0.1120772E+00
  0.4956344E+04   0.1117152E+00
  0.4956642E+04   0.1116410E+00
  0.4956940E+04   0.1116674E+00
  0.4957251E+04   0.1120487E+00
  0.4957574E+04   0.1124372E+00
  0.4957860E+04   0.1132731E+00
  0.4958171E+04   0.1151250E+00
  0.4958482E+04   0.1181384E+00
  0.4958781E+04   0.1224552E+00
  0.4959080E+04   0.1256746E+00
  0.4959391E+04   0.1268871E+00
  0.4959689E+04   0.1265062E+00
  0.4960000E+04   0.1278924E+00
  0.4960312E+04   0.1328442E+00
  0.4960610E+04   0.1414977E+00
  0.4960909E+04   0.1517026E+00
  0.4961221E+04   0.1590625E+00
  0.4961520E+04   0.1598581E+00
  0.4961831E+04   0.1558302E+00
  0.4962130E+04   0.1513694E+00
  0.4962454E+04   0.1494178E+00
  0.4962741E+04   0.1508131E+00
  0.4963052E+04   0.1551361E+00
  0.4963352E+04   0.1621665E+00
  0.4963663E+04   0.1715190E+00
  0.4963962E+04   0.1818970E+00
  0.4964286E+04   0.1928437E+00
  0.4964573E+04   0.2009245E+00
  0.4964885E+04   0.2075655E+00
  0.4965197E+04   0.2120045E+00
  0.4965497E+04   0.2151071E+00
  0.4965796E+04   0.2166169E+00
  0.4966108E+04   0.2164982E+00
  0.4966408E+04   0.2147738E+00
  0.4966707E+04   0.2116485E+00
  0.4967032E+04   0.2069924E+00
  0.4967319E+04   0.2030831E+00
  0.4967631E+04   0.2000217E+00
  0.4967943E+04   0.1986208E+00
  0.4968243E+04   0.1989521E+00
  0.4968543E+04   0.2008269E+00
  0.4968855E+04   0.2040401E+00
  0.4969155E+04   0.2088818E+00
  0.4969455E+04   0.2147995E+00
  0.4969768E+04   0.2235430E+00
  0.4970068E+04   0.2341627E+00
  0.4970368E+04   0.2482077E+00
  0.4970693E+04   0.2675547E+00
  0.4970981E+04   0.2873789E+00
  0.4971293E+04   0.3127406E+00
  0.4971606E+04   0.3396686E+00
  0.4971894E+04   0.3680143E+00
  0.4972207E+04   0.4012499E+00
  0.4972520E+04   0.4363064E+00
  0.4972820E+04   0.4744962E+00
  0.4973121E+04   0.5182484E+00
  0.4973421E+04   0.5652010E+00
  0.4973734E+04   0.6217855E+00
  0.4974035E+04   0.6799137E+00
  0.4974335E+04   0.7435406E+00
  0.4974648E+04   0.8079768E+00
  0.4974949E+04   0.8693033E+00
  0.4975275E+04   0.9243418E+00
  0.4975563E+04   0.9629516E+00
  0.4975864E+04   0.9885936E+00
  0.4976190E+04   0.1001283E+01
  0.4976478E+04   0.1001255E+01
  0.4976792E+04   0.9932979E+00
  0.4977093E+04   0.9792563E+00
  0.4977394E+04   0.9620092E+00
  0.4977707E+04   0.9416410E+00
  0.4978008E+04   0.9180800E+00
  0.4978310E+04   0.8954505E+00
  0.4978623E+04   0.8742139E+00
  0.4978912E+04   0.8570053E+00
  0.4979226E+04   0.8435035E+00
  0.4979527E+04   0.8346132E+00
  0.4979828E+04   0.8297049E+00
  0.4980142E+04   0.8261902E+00
  0.4980444E+04   0.8238766E+00
  0.4980745E+04   0.8218942E+00
  0.4981059E+04   0.8192380E+00
  0.4981361E+04   0.8166142E+00
  0.4981662E+04   0.8149495E+00
  0.4981964E+04   0.8147856E+00
  0.4982278E+04   0.8170708E+00
  0.4982580E+04   0.8221934E+00
  0.4982882E+04   0.8302367E+00
  0.4983196E+04   0.8413262E+00
  0.4983498E+04   0.8530617E+00
  0.4983800E+04   0.8652115E+00
  0.4984102E+04   0.8764932E+00
  0.4984416E+04   0.8862606E+00
  0.4984718E+04   0.8928341E+00
  0.4985020E+04   0.8975062E+00
  0.4985322E+04   0.8995614E+00
  0.4985637E+04   0.9001075E+00
  0.4985939E+04   0.8986005E+00
  0.4986241E+04   0.8956472E+00
  0.4986543E+04   0.8918686E+00
  0.4986858E+04   0.8870919E+00
  0.4987161E+04   0.8824399E+00
  0.4987463E+04   0.8781213E+00
  0.4987766E+04   0.8748311E+00
  0.4988068E+04   0.8725247E+00
  0.4988383E+04   0.8717137E+00
  0.4988686E+04   0.8724546E+00
  0.4988988E+04   0.8742059E+00
  0.4989291E+04   0.8765789E+00
  0.4989593E+04   0.8790765E+00
  0.4989908E+04   0.8810760E+00
  0.4990211E+04   0.8822728E+00
  0.4990514E+04   0.8824368E+00
  0.4990829E+04   0.8815321E+00
  0.4991120E+04   0.8791743E+00
  0.4991435E+04   0.8761060E+00
  0.4991738E+04   0.8727025E+00
  0.4992041E+04   0.8689111E+00
  0.4992356E+04   0.8652384E+00
  0.4992647E+04   0.8615671E+00
  0.4992950E+04   0.8583679E+00
  0.4993278E+04   0.8551307E+00
  0.4993569E+04   0.8526555E+00
  0.4993872E+04   0.8501674E+00
  0.4994175E+04   0.8480366E+00
  0.4994479E+04   0.8457572E+00
  0.4994782E+04   0.8439382E+00
  0.4995098E+04   0.8419887E+00
  0.4995401E+04   0.8396073E+00
  0.4995705E+04   0.8365166E+00
  0.4996008E+04   0.8328653E+00
  0.4997526E+04   0.7991521E+00
  0.4999083E+04   0.7497998E+00
  0.5000667E+04   0.7075725E+00
  0.5002302E+04   0.6734710E+00
  0.5003976E+04   0.6597762E+00
  0.5005677E+04   0.6400611E+00
  0.5007405E+04   0.6132461E+00
  0.5009185E+04   0.6008098E+00
  0.5010992E+04   0.5902086E+00
  0.5012851E+04   0.5723926E+00
  0.5014737E+04   0.5628464E+00
  0.5016663E+04   0.5692942E+00
  0.5018629E+04   0.5853980E+00
  0.5020622E+04   0.5964195E+00
  0.5022668E+04   0.5957560E+00
  0.5024742E+04   0.5892512E+00
  0.5026856E+04   0.5838851E+00
  0.5029010E+04   0.5903838E+00
  0.5031192E+04   0.6106253E+00
  0.5033427E+04   0.6248251E+00
  0.5035678E+04   0.6211485E+00
  0.5037982E+04   0.6041597E+00
  0.5040327E+04   0.5893707E+00
  0.5042701E+04   0.5932269E+00
  0.5045103E+04   0.6085976E+00
  0.5047558E+04   0.6313526E+00
  0.5050056E+04   0.6502699E+00
  0.5052568E+04   0.6463654E+00
  0.5055136E+04   0.6191095E+00
  0.5057732E+04   0.5868283E+00
  0.5060358E+04   0.5644819E+00
  0.5063038E+04   0.5617585E+00
  0.5065748E+04   0.5716460E+00
  0.5068500E+04   0.5784471E+00
  0.5071281E+04   0.5669820E+00
  0.5074118E+04   0.5469087E+00
  0.5076972E+04   0.5237854E+00
  0.5079881E+04   0.5009652E+00
  0.5082794E+04   0.4870847E+00
  0.5085763E+04   0.4807391E+00
  0.5088776E+04   0.4737108E+00
  0.5091832E+04   0.4647510E+00
  0.5094905E+04   0.4558562E+00
  0.5098035E+04   0.4493598E+00
  0.5101196E+04   0.4460350E+00
  0.5104387E+04   0.4415243E+00
  0.5107623E+04   0.4390329E+00
  0.5110890E+04   0.4398390E+00
  0.5114214E+04   0.4420711E+00
  0.5117543E+04   0.4484380E+00
  0.5120931E+04   0.4529935E+00
  0.5124350E+04   0.4478263E+00
  0.5127800E+04   0.4343127E+00
  0.5131310E+04   0.4142883E+00
  0.5134837E+04   0.3938232E+00
  0.5138398E+04   0.3837643E+00
  0.5142017E+04   0.3846317E+00
  0.5145656E+04   0.3832369E+00
  0.5149327E+04   0.3741873E+00
  0.5153071E+04   0.3667073E+00
  0.5156808E+04   0.3664605E+00
  0.5160604E+04   0.3631181E+00
  0.5164435E+04   0.3541712E+00
  0.5168298E+04   0.3435831E+00
  0.5172223E+04   0.3309894E+00
  0.5176167E+04   0.3167150E+00
  0.5180132E+04   0.3040532E+00
  0.5184145E+04   0.2948442E+00
  0.5188205E+04   0.2844553E+00
  0.5192300E+04   0.2711233E+00
  0.5196443E+04   0.2616598E+00
  0.5200607E+04   0.2563410E+00
  0.5204792E+04   0.2519731E+00
  0.5209041E+04   0.2469782E+00
  0.5213310E+04   0.2420945E+00
  0.5217628E+04   0.2412342E+00
  0.5221997E+04   0.2424028E+00
  0.5226387E+04   0.2361942E+00
  0.5230799E+04   0.2203184E+00
  0.5235275E+04   0.2019068E+00
  0.5239773E+04   0.1894690E+00
  0.5244308E+04   0.1800996E+00
  0.5248908E+04   0.1730730E+00
  0.5253502E+04   0.1665693E+00
  0.5258162E+04   0.1612249E+00
  0.5262845E+04   0.1572844E+00
  0.5267580E+04   0.1523347E+00
  0.5272337E+04   0.1468687E+00
  0.5277147E+04   0.1400273E+00
  0.5281980E+04   0.1301449E+00
  0.5286853E+04   0.1182517E+00
  0.5291777E+04   0.1054593E+00
  0.5296726E+04   0.9317524E-01
  0.5301713E+04   0.8185156E-01
  0.5306740E+04   0.7203153E-01
  0.5311806E+04   0.6185100E-01
  0.5316911E+04   0.5242351E-01
  0.5322042E+04   0.4426654E-01
  0.5327212E+04   0.3703901E-01
  0.5332436E+04   0.3150116E-01
  0.5337672E+04   0.2592235E-01
  0.5342963E+04   0.1984250E-01
  0.5348280E+04   0.1107474E-01
  0.5353652E+04   0.2230081E-03
  0.5359051E+04   -.1042158E-01
  0.5364490E+04   -.2168288E-01
  0.5369957E+04   -.3422414E-01
  0.5375465E+04   -.4572725E-01
  0.5381016E+04   -.5576930E-01
  0.5386593E+04   -.6416685E-01
  0.5392243E+04   -.7076362E-01
  0.5397891E+04   -.7742932E-01
  0.5403596E+04   -.8442484E-01
  0.5409314E+04   -.9262207E-01
  0.5415091E+04   -.1011638E+00
  0.5420911E+04   -.1102107E+00
  0.5426744E+04   -.1192367E+00
  0.5432652E+04   -.1299767E+00
  0.5438558E+04   -.1411950E+00
  0.5444509E+04   -.1519057E+00
  0.5450504E+04   -.1623622E+00
  0.5456559E+04   -.1728438E+00
  0.5462629E+04   -.1826616E+00
  0.5468729E+04   -.1918419E+00
  0.5474875E+04   -.1987610E+00
  0.5481050E+04   -.2056491E+00
  0.5487287E+04   -.2135903E+00
  0.5493524E+04   -.2219418E+00
  0.5499823E+04   -.2314563E+00
  0.5506153E+04   -.2409255E+00
  0.5512529E+04   -.2501629E+00
  0.5518954E+04   -.2601292E+00
  0.5525378E+04   -.2702068E+00
  0.5531866E+04   -.2810987E+00
  0.5538371E+04   -.2913271E+00
  0.5544939E+04   -.3008972E+00
  0.5551540E+04   -.3095221E+00
  0.5558158E+04   -.3181763E+00
  0.5564824E+04   -.3265545E+00
  0.5571556E+04   -.3356924E+00
  0.5578273E+04   -.3448299E+00
  0.5585056E+04   -.3543110E+00
  0.5591873E+04   -.3639090E+00
  0.5598740E+04   -.3733823E+00
  0.5605625E+04   -.3831378E+00
  0.5612561E+04   -.3932886E+00
  0.5619531E+04   -.4033524E+00
  0.5626520E+04   -.4132201E+00
  0.5633561E+04   -.4230843E+00
  0.5640653E+04   -.4326827E+00
  0.5647764E+04   -.4425884E+00
  0.5654928E+04   -.4519411E+00
  0.5662127E+04   -.4611944E+00
  0.5669347E+04   -.4702044E+00
  0.5676603E+04   -.4801718E+00
  0.5683928E+04   -.4900444E+00
  0.5691241E+04   -.5000148E+00
  0.5698624E+04   -.5097651E+00
  0.5706061E+04   -.5194820E+00
  0.5713484E+04   -.5290213E+00
