# TR : TI K-EDGE IN EUTIO AT 300K.
# NSLS filename: tieuo.300
# NSLS/X11 EDC-5.02 10-Nov-95 00:09:22 E- ENERGY=2.584GEV
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 4966.0 NREG= 3 NPTS= 286 NSCLRS= 3 EF=     .0
# SRB=   -190.0    -30.0     30.0   1234.4
# DEL=           19.995    1.001     .070K
# SEC=             1.000    1.000    1.000
# GAINS:    I0=9       It=9       If=8
# OFFSETS:  I0=49192   It=53981   If=356
#---------------------------------------------------------------------
#     energy          xmu        
  0.5248880E+04   0.9791104E+00
  0.5253488E+04   0.9703816E+00
  0.5258148E+04   0.9625649E+00
  0.5262845E+04   0.9564410E+00
  0.5267565E+04   0.9500120E+00
  0.5272323E+04   0.9422481E+00
  0.5277133E+04   0.9332245E+00
  0.5281966E+04   0.9230508E+00
  0.5286838E+04   0.9087002E+00
  0.5291777E+04   0.8942891E+00
  0.5296711E+04   0.8795987E+00
  0.5301699E+04   0.8659194E+00
  0.5306726E+04   0.8530359E+00
  0.5311806E+04   0.8413938E+00
  0.5316882E+04   0.8289617E+00
  0.5322042E+04   0.8181362E+00
  0.5327197E+04   0.8084301E+00
  0.5332407E+04   0.8010295E+00
  0.5337657E+04   0.7934188E+00
  0.5342948E+04   0.7859081E+00
  0.5348265E+04   0.7759370E+00
  0.5353637E+04   0.7633803E+00
  0.5359036E+04   0.7507466E+00
  0.5364490E+04   0.7376319E+00
  0.5369957E+04   0.7235634E+00
  0.5375451E+04   0.7098767E+00
  0.5381016E+04   0.6972104E+00
  0.5386593E+04   0.6858811E+00
  0.5392213E+04   0.6768187E+00
  0.5397875E+04   0.6675284E+00
  0.5403566E+04   0.6579909E+00
  0.5409299E+04   0.6486090E+00
  0.5415076E+04   0.6373361E+00
  0.5420880E+04   0.6257822E+00
  0.5426729E+04   0.6140621E+00
  0.5432622E+04   0.6008671E+00
  0.5438543E+04   0.5876976E+00
  0.5444509E+04   0.5743346E+00
  0.5450489E+04   0.5611711E+00
  0.5456529E+04   0.5484035E+00
  0.5462599E+04   0.5358853E+00
  0.5468729E+04   0.5243015E+00
  0.5474859E+04   0.5141073E+00
  0.5481034E+04   0.5051520E+00
  0.5487256E+04   0.4942667E+00
  0.5493508E+04   0.4833825E+00
  0.5499807E+04   0.4713635E+00
  0.5506137E+04   0.4595286E+00
  0.5512529E+04   0.4475098E+00
  0.5518938E+04   0.4354423E+00
  0.5525378E+04   0.4232289E+00
  0.5531851E+04   0.4101920E+00
  0.5538371E+04   0.3966118E+00
  0.5544923E+04   0.3849342E+00
