 ti edge EuTiO3                                          Feff  6.01a  potph 4.12
 Abs   Z=22 Rmt= 1.089 Rnm= 1.378 K shell
 Pot 1 Z=63 Rmt= 1.727 Rnm= 1.814
 Pot 2 Z=22 Rmt= 1.091 Rnm= 1.386
 Pot 3 Z= 8 Rmt= 0.926 Rnm= 1.141
 Gam_ch=9.067E-01 H-L exch
 Mu=-6.373E+00 kf=2.024E+00 Vint=-2.198E+01 Rs_int= 1.792
 S02  1.000                                              Feff  6.01a ff2chi 2.01
 Curved wave amplitude ratio filter   4.000%
    file           sig2  cw amp ratio   deg  nlegs  r effective
 feff0001.dat    0.00000    100.00      6.00     2   1.9895
 feff0002.dat    0.00000     17.25     24.00     3   3.3963
 feff0003.dat    0.00000     57.15      8.00     2   3.4459
 feff0004.dat    0.00000     23.36      6.00     2   3.9790
 feff0005.dat    0.00000     16.43      6.00     3   3.9790
 feff0006.dat    0.00000     63.77     12.00     3   3.9790
 feff0007.dat    0.00000     27.48      6.00     4   3.9790
 feff0008.dat    0.00000      9.80      6.00     4   3.9790
 feff0009.dat    0.00000     42.51      6.00     4   3.9790
 feff0011.dat    0.00000     25.50     48.00     3   4.1245
 feff0012.dat    0.00000     56.76     24.00     2   4.4487
   11/  11 paths used
 -------------------------------------------------------------------------------
      k          chi          mag           phase @#
     4.0500    2.054244E-02  8.450951E-02  6.528724E+00
     4.1000    2.400235E-02  8.540005E-02  6.568082E+00
     4.1500    3.013239E-02  8.836832E-02  6.631151E+00
     4.2000    3.925559E-02  9.245737E-02  6.721684E+00
     4.2500    5.084446E-02  9.765655E-02  6.830793E+00
     4.3000    6.450836E-02  1.026971E-01  6.962348E+00
     4.3500    7.889575E-02  1.070628E-01  7.111674E+00
     4.4000    9.237101E-02  1.103906E-01  7.274535E+00
     4.4500    1.041290E-01  1.133478E-01  7.447881E+00
     4.5000    1.120244E-01  1.149195E-01  7.629042E+00
     4.5500    1.149288E-01  1.150140E-01  7.815493E+00
     4.6000    1.123085E-01  1.136024E-01  8.005058E+00
     4.6500    1.052388E-01  1.117279E-01  8.196473E+00
     4.7000    9.335884E-02  1.084563E-01  8.387944E+00
     4.7500    7.785708E-02  1.038797E-01  8.577482E+00
     4.8000    6.032014E-02  9.813381E-02  8.762808E+00
     4.8500    4.283593E-02  9.216269E-02  8.941385E+00
     4.9000    2.641090E-02  8.542449E-02  9.110455E+00
     4.9500    1.237815E-02  7.818772E-02  9.265796E+00
     5.0000    1.616078E-03  7.079838E-02  9.401950E+00
     5.0500   -5.675314E-03  6.424981E-02  9.513226E+00
     5.1000   -9.908799E-03  5.851792E-02  9.594927E+00
     5.1500   -1.185573E-02  5.422200E-02  9.645211E+00
     5.2000   -1.265696E-02  5.195697E-02  9.670859E+00
     5.2500   -1.401174E-02  5.255768E-02  9.694639E+00
     5.3000   -1.693957E-02  5.536221E-02  9.735743E+00
     5.3500   -2.236148E-02  5.990146E-02  9.807347E+00
     5.4000   -3.072843E-02  6.557244E-02  9.912504E+00
     5.4500   -4.248114E-02  7.221116E-02  1.005372E+01
     5.5000   -5.628310E-02  7.887785E-02  1.021933E+01
     5.5500   -7.074968E-02  8.523643E-02  1.040396E+01
     5.6000   -8.412382E-02  9.103284E-02  1.060346E+01
     5.6500   -9.488552E-02  9.637624E-02  1.081946E+01
     5.7000   -1.007119E-01  1.008339E-01  1.104477E+01
     5.7500   -1.001726E-01  1.043010E-01  1.127787E+01
     5.8000   -9.248592E-02  1.067040E-01  1.151772E+01
     5.8500   -7.756932E-02  1.081412E-01  1.176646E+01
     5.9000   -5.626857E-02  1.084320E-01  1.202077E+01
     5.9500   -3.033154E-02  1.075794E-01  1.228055E+01
     6.0000   -2.160882E-03  1.056101E-01  1.254591E+01
     6.0500    2.569361E-02  1.028219E-01  1.281893E+01
     6.1000    5.019191E-02  9.903426E-02  1.309786E+01
     6.1500    6.878117E-02  9.432451E-02  1.338352E+01
     6.2000    7.956413E-02  8.879366E-02  1.367718E+01
     6.2500    8.156012E-02  8.256949E-02  1.398065E+01
     6.3000    7.485099E-02  7.581178E-02  1.429654E+01
     6.3500    6.058898E-02  6.872169E-02  1.462860E+01
     6.4000    4.086245E-02  6.155739E-02  1.498206E+01
     6.4500    1.843493E-02  5.465860E-02  1.536394E+01
     6.5000   -3.609237E-03  4.847742E-02  1.578248E+01
     6.5500   -2.194640E-02  4.322239E-02  1.624054E+01
     6.6000   -3.419019E-02  3.976302E-02  1.674294E+01
     6.6500   -3.866771E-02  3.866831E-02  1.727322E+01
     6.7000   -3.478907E-02  4.008982E-02  1.779884E+01
     6.7500   -2.313065E-02  4.363702E-02  1.829087E+01
     6.8000   -5.360410E-03  4.863114E-02  1.873911E+01
     6.8500    1.598548E-02  5.441701E-02  1.914771E+01
     6.9000    3.784439E-02  6.048959E-02  1.952550E+01
     6.9500    5.704100E-02  6.648940E-02  1.988072E+01
     7.0000    7.071644E-02  7.216405E-02  2.021972E+01
     7.0500    7.694891E-02  7.765102E-02  2.055493E+01
     7.1000    7.398445E-02  8.258858E-02  2.088088E+01
     7.1500    6.177000E-02  8.686933E-02  2.120013E+01
     7.2000    4.147492E-02  9.041636E-02  2.151461E+01
     7.2500    1.534118E-02  9.317748E-02  2.182575E+01
     7.3000   -1.360967E-02  9.512158E-02  2.213472E+01
     7.3500   -4.197221E-02  9.623621E-02  2.244245E+01
     7.4000   -6.640164E-02  9.652585E-02  2.274976E+01
     7.4500   -8.404673E-02  9.601065E-02  2.305739E+01
     7.5000   -9.291354E-02  9.472544E-02  2.336604E+01
     7.5500   -9.256589E-02  9.318755E-02  2.367752E+01
     7.6000   -8.272267E-02  9.097374E-02  2.399114E+01
     7.6500   -6.474851E-02  8.814359E-02  2.430769E+01
     7.7000   -4.098582E-02  8.476937E-02  2.462810E+01
     7.7500   -1.443909E-02  8.093614E-02  2.495338E+01
     7.8000    1.162185E-02  7.674223E-02  2.528477E+01
     7.8500    3.408573E-02  7.230001E-02  2.562367E+01
     7.9000    5.039434E-02  6.773700E-02  2.597173E+01
     7.9500    5.885626E-02  6.319698E-02  2.633075E+01
     8.0000    5.884022E-02  5.884025E-02  2.670253E+01
     8.0500    5.081462E-02  5.481030E-02  2.708773E+01
     8.1000    3.627851E-02  5.127407E-02  2.748832E+01
     8.1500    1.752831E-02  4.841617E-02  2.790389E+01
     8.2000   -2.661898E-03  4.639577E-02  2.833174E+01
     8.2500   -2.141756E-02  4.531361E-02  2.876663E+01
     8.3000   -3.614355E-02  4.518289E-02  2.920153E+01
     8.3500   -4.485658E-02  4.592118E-02  2.962938E+01
     8.4000   -4.642785E-02  4.737015E-02  3.004492E+01
     8.4500   -4.070695E-02  4.933215E-02  3.044544E+01
     8.5000   -2.851448E-02  5.160542E-02  3.083051E+01
     8.5500   -1.135997E-02  5.419990E-02  3.120477E+01
     8.6000    8.500094E-03  5.679277E-02  3.156616E+01
     8.6500    2.844719E-02  5.925688E-02  3.191666E+01
     8.7000    4.588041E-02  6.149236E-02  3.225814E+01
     8.7500    5.855259E-02  6.342310E-02  3.259227E+01
