# Merge in e space of:
# ** C:/spectra for calibration/inasp_1.dat (inasp_1)
# ** C:/spectra for calibration/inasp_2.dat (inasp_2)
# ** C:/spectra for calibration/inasp_3.dat (inasp_3)
#------------------------
#   ee        xmu        bkg        stddev
  11873.815       0.85842067       0.95534768       0.36217919E-01
  11874.122       0.84952767       0.94636450       0.35879958E-01
  11874.413       0.84647800       0.93828586       0.35859620E-01
  11874.721       0.84733833       0.93022781       0.35877160E-01
  11875.012       0.85126433       0.92304659       0.35880312E-01
  11875.320       0.85795333       0.91588398       0.35898906E-01
  11875.610       0.86492800       0.90954145       0.35868226E-01
  11875.918       0.87201600       0.90321775       0.35890242E-01
  11876.210       0.87702767       0.89760564       0.35942960E-01
  11876.517       0.88067400       0.89208360       0.35864029E-01
  11876.809       0.88174200       0.88718889       0.35570946E-01
  11877.117       0.88149600       0.88237927       0.35769731E-01
  11877.407       0.88016433       0.87817716       0.35698698E-01
  11877.717       0.87832167       0.87401782       0.35885387E-01
  11878.007       0.87626633       0.87042521       0.35777707E-01
  11878.315       0.87363833       0.86690917       0.35789180E-01
  11878.623       0.86836967       0.86369108       0.35454296E-01
  11878.915       0.86352933       0.86090277       0.36084396E-01
  11879.223       0.85931100       0.85821981       0.35592635E-01
  11879.514       0.85408033       0.85592059       0.35707868E-01
  11879.823       0.84796600       0.85371149       0.35871033E-01
  11880.113       0.84170800       0.85184527       0.35562192E-01
  11880.422       0.83577400       0.85006201       0.35858420E-01
  11880.712       0.83088033       0.84856442       0.35860753E-01
  11881.021       0.82617900       0.84715638       0.36049773E-01
  11881.312       0.82243433       0.84597750       0.36009521E-01
  11881.620       0.81974033       0.84488376       0.36257252E-01
  11881.912       0.81810333       0.84397674       0.36196977E-01
  11882.220       0.81738900       0.84314152       0.36477353E-01
  11882.511       0.81781067       0.84245563       0.36341191E-01
  11882.820       0.81898133       0.84182179       0.36122508E-01
  11883.111       0.82095400       0.84130153       0.36194447E-01
  11883.419       0.82401800       0.84081755       0.36165749E-01
  11883.711       0.82705233       0.84040930       0.36215979E-01
  11884.020       0.83103733       0.84001656       0.35495924E-01
  11884.328       0.83555633       0.83965100       0.35785728E-01
  11884.654       0.84098667       0.83927608       0.35670849E-01
  11884.962       0.84622367       0.83892426       0.35749000E-01
  11885.288       0.85184067       0.83855376       0.35647645E-01
  11885.596       0.85692067       0.83820547       0.35741797E-01
  11885.922       0.86215000       0.83783868       0.35607511E-01
  11886.248       0.86677033       0.83747479       0.35545208E-01
  11886.590       0.87121600       0.83709367       0.35710619E-01
  11886.916       0.87421233       0.83673251       0.35658787E-01
  11887.258       0.87645467       0.83635551       0.35673089E-01
  11887.586       0.87633567       0.83599715       0.35682768E-01
  11887.928       0.87500033       0.83562401       0.35634267E-01
  11888.289       0.87269033       0.83523330       0.35430967E-01
  11888.632       0.87009800       0.83486330       0.35915727E-01
  11888.975       0.86659300       0.83449528       0.35770646E-01
  11889.336       0.86357800       0.83411095       0.36119181E-01
  11889.696       0.86115133       0.83372879       0.36091642E-01
  11890.055       0.85880200       0.83335077       0.35799758E-01
  11890.415       0.85794067       0.83297287       0.35430160E-01
  11890.794       0.85834633       0.83257828       0.35226088E-01
  11891.153       0.86012833       0.83220574       0.35499885E-01
  11891.531       0.86319000       0.83181657       0.35284015E-01
  11891.909       0.86739433       0.83142977       0.35452856E-01
  11892.286       0.87237233       0.83104513       0.35261173E-01
  11892.664       0.87750767       0.83066271       0.35360089E-01
  11893.059       0.88200000       0.83026535       0.35248580E-01
  11893.436       0.88570967       0.82988845       0.35163370E-01
  11893.831       0.88787733       0.82949477       0.35168148E-01
  11894.226       0.88809867       0.82910444       0.35189194E-01
  11894.621       0.88605600       0.82871646       0.35262608E-01
  11895.016       0.88232667       0.82833079       0.35249530E-01
  11895.429       0.87687667       0.82792980       0.35328347E-01
  11895.840       0.87007600       0.82753323       0.35324384E-01
  11896.235       0.86338733       0.82715459       0.35434182E-01
  11896.648       0.85588833       0.82676089       0.35425802E-01
  11897.078       0.84805000       0.82635345       0.35419203E-01
  11897.489       0.84055067       0.82596654       0.35592713E-01
  11897.918       0.83319800       0.82556510       0.35674537E-01
  11898.331       0.82609967       0.82518111       0.35826069E-01
  11898.761       0.81985933       0.82478370       0.35422380E-01
  11899.190       0.81420667       0.82438969       0.35370553E-01
  11899.619       0.80974667       0.82399805       0.35243297E-01
