MRCAT_XAFS V0.3 Datafile
"femag.001" created at APS Sector 10-ID on Sat Jun  9 09:54:35 2001
Ring energy= 7.00 GeV
E0= 7100.00
NUM_REGIONS= 1
SRB= 6900
SRSS= 1
SPP= 0.4
Settling time= 0

***** DATA : LN( I0/IT )    REFERENCE : LN( IT/IRef ) *****

Offsets= 0.00 11495.56 11977.89 306.44 11092.78 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 6.00 7.00 9.00 7.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
Fe K-edge 
Fe3O4 thin film
 
------------------------------------------------------------------------------------------------
   energy joerger_timer       Io       It       If     Iref 
 7031.444   10312540 24462.5 66550 210 127187.5
 7032.596   12890068 30592.5 83282.5 257.5 158940
 7033.7065  12889852 30477.5 83002.5 260 159125
 7034.8803  12890350 30755 83817.5 257.5 159610
 7035.9916  12890195 30705 83735 262.5 159652.5
 7037.1452  12890480 30647.5 83630 262.5 159360
 7038.2991  10312440 24592.5 67152.5 212.5 127827.5
 7039.4535  12889740 30665 83785 265 159882.5
 7040.5873  12890752 30665 83840 267.5 159860
 7041.7844  12889475 30745 84107.5 270 159945
 7042.898   12891220 30775 84240 272.5 160157.5
 7044.0539  12889385 30952.5 84797.5 275 160687.5
 7045.2103  12891108 30970 84900 275 160857.5
 7046.346   10311290 24640 67595 225 128600
 7047.4821  12890035 30945 84930 280 161037.5
 7048.6396  12890338 30860 84747.5 280 161102.5
 7049.7975  12890005 30942.5 85030 280 161360
 7050.9558  12890522 31032.5 85322.5 290 161655
 7052.0934  12889825 30925 85092.5 282.5 161747.5
 7053.2525  12890635 30952.5 85222.5 290 161782.5
 7054.391   10312055 24710 68072.5 230 129632.5
 7055.5508  12889988 31130 85812.5 295 162437.5
 7056.69    12890405 31055 85652.5 292.5 162375
 7057.8507  12889968 31160 86002.5 292.5 162595
 7058.9906  12890495 31152.5 86047.5 297.5 162850
 7060.131   12889868 31237.5 86345 302.5 163070
 7061.2928  10312220 25027.5 69222.5 245 130762.5
 7062.4551  12890705 31342.5 86745 307.5 163485
 7063.5755  12889712 31127.5 86190 310 162712.5
 7064.7385  12890815 31147.5 86297.5 315 163500
 7065.9019  12889755 31337.5 86900 317.5 163995
 7067.0234  12890630 31312.5 86867.5 317.5 164140
 7068.1877  12889640 31355 87040 322.5 164387.5
 7069.3946  12890930 31307.5 86975 322.5 164510
 7070.5385  12889508 31327.5 87087.5 327.5 164512.5
 7071.7039  10312102 25147.5 69952.5 267.5 131867.5
 7072.8485  12890385 31497.5 87660 337.5 165250
 7074.036   12890010 31422.5 87502.5 340 164402.5
 7075.2026  12890440 31457.5 87655 342.5 165140
 7076.3272  12889980 31572.5 88045 352.5 165925
 7077.4946  12890260 31562.5 88072.5 352.5 166040
 7078.6412  10312508 25240 70477.5 292.5 132980
 7079.8094  12889975 31652.5 88435 367.5 166712.5
 7080.978   12890268 31705 88640 375 166842.5
 7082.1258  12889985 31732.5 88782.5 380 167110
 7083.2952  12890545 31757.5 88892.5 387.5 167490
 7084.4863  12890042 31725 88837.5 392.5 167370
 7085.6139  12890352 31685 88785 397.5 167245
 7086.7846  10312148 25390 71180 325 134082.5
 7087.9556  12889855 31725 89000 420 167492.5
 7089.1057  12890388 31787.5 89230 430 167667.5
 7090.2775  12889985 31985 89852.5 440 167915
 7091.4497  12890902 32010 89987.5 452.5 168455
 7092.601   12889418 31825 89505 467.5 167847.5
 7093.7954  12891322 31872.5 89697.5 477.5 167867.5
 7094.9475  10311355 25587.5 72045 397.5 134352.5
 7096.1427  12890518 32085 90385 517.5 168377.5
 7097.2742  12889930 32085 90437.5 532.5 168375
 7098.4488  12889978 32147.5 90655 562.5 168282.5
 7099.6025  12890390 32140 90690 582.5 168162.5
 7100.7993  12890045 32187.5 90867.5 620 168205
 7101.9752  12890422 32292.5 91215 662.5 168230
 7103.2156  12889775 32175 90912.5 705 166822.5
