# data from ifeffit
#------------------------
#   lambda    xmu
  1.3551963        2.9465660
  1.3548224        2.8392570
  1.3544419        2.7470800
  1.3540610        2.6897090
  1.3536737        2.6826280
  1.3532863        2.7308710
  1.3528989        2.8165720
  1.3525049        2.9175720
  1.3521108        3.0160810
  1.3517101        3.0809770
  1.3513160        3.1157320
  1.3509085        3.1089100
  1.3505079        3.0700120
  1.3500937        3.0335500
  1.3496863        3.0155550
  1.3492720        3.0079770
  1.3488580        2.9798290
  1.3484371        2.9387810
  1.3480163        2.9299600
  1.3475954        2.9761790
  1.3471678        3.0732680
  1.3467404        3.1701510
  1.3463060        3.2031550
  1.3458784        3.2061420
  1.3454444        3.1903000
  1.3449966        3.1472040
  1.3445623        3.0714210
  1.3441214        2.9773210
  1.3436738        2.8891610
  1.3432261        2.8220560
  1.3427651        2.7813510
  1.3423175        2.7630390
  1.3418564        2.7691460
  1.3414088        2.8001580
  1.3409478        2.8228450
  1.3404867        2.8219070
  1.3400189        2.8267510
  1.3395513        2.8345980
  1.3390834        2.8375950
  1.3386089        2.8527310
  1.3381346        2.8848910
  1.3376534        2.9143350
  1.3371723        2.9340460
  1.3366912        2.9438200
  1.3362099        2.9447690
  1.3357222        2.9428820
  1.3352342        2.9523540
  1.3347396        2.9672950
  1.3342449        2.9868710
  1.3337505        3.0034320
  1.3332494        2.9818790
  1.3327413        2.9335000
  1.3322467        2.8890450
  1.3317387        2.8405680
  1.3312306        2.7960970
  1.3307227        2.7758380
  1.3302080        2.7817600
  1.3296867        2.8015080
  1.3291718        2.8168900
  1.3286505        2.8031440
  1.3281290        2.7630320
  1.3276077        2.7118230
  1.3270795        2.6879550
  1.3265514        2.7118130
  1.3260165        2.7371340
  1.3254818        2.7379340
  1.3249468        2.7489220
  1.3244121        2.7656750
  1.3238705        2.7730980
  1.3233222        2.7810470
  1.3227740        2.7898190
  1.3222391        2.7974770
  1.3216842        2.8047340
  1.3211358        2.8097860
  1.3205809        2.8121140
  1.3200257        2.8137000
  1.3194640        2.8143580
  1.3189091        2.8099790
  1.3183408        2.7933990
  1.3177791        2.7604900
  1.3172105        2.7182490
  1.3166422        2.6836560
  1.3160736        2.6710650
  1.3154918        2.6716320
  1.3149232        2.6812600
  1.3143414        2.6964380
  1.3137664        2.7049870
  1.3131845        2.7012000
  1.3125958        2.6866530
  1.3120073        2.6573980
  1.3114186        2.6285730
  1.3108301        2.6235850
  1.3102415        2.6332090
  1.3096461        2.6302770
  1.3090440        2.6167240
  1.3084486        2.6102340
  1.3078467        2.6098770
  1.3072445        2.6180660
  1.3066358        2.6328200
  1.3060337        2.6458500
  1.3054182        2.6614800
  1.3048093        2.6807590
  1.3041938        2.6969830
  1.3035717        2.7022350
  1.3029628        2.6941760
  1.3023406        2.6692600
  1.3017250        2.6253980
  1.3010893        2.5803810
  1.3004738        2.5615630
  1.2998380        2.5563940
  1.2992157        2.5550070
  1.2985799        2.5528420
  1.2979509        2.5539170
  1.2973153        2.5580740
  1.2966794        2.5589720
  1.2960303        2.5520030
  1.2953945        2.5467210
  1.2947453        2.5434600
  1.2941095        2.5353490
  1.2934602        2.5179310
  1.2928111        2.5094530
  1.2921618        2.5088780
  1.2915058        2.5073380
  1.2908499        2.5118220
  1.2901939        2.5158930
  1.2895380        2.5147580
  1.2888754        2.5140530
  1.2882125        2.5188600
  1.2875499        2.5263260
  1.2868870        2.5241620
  1.2862177        2.5153930
  1.2855480        2.5055880
  1.2848719        2.4959450
  1.2842025        2.4896190
  1.2835196        2.4805150
  1.2828500        2.4658660
  1.2821738        2.4549110
  1.2814908        2.4486000
  1.2808079        2.4446250
  1.2801249        2.4443910
  1.2794352        2.4385420
  1.2787521        2.4258910
  1.2780625        2.4213630
  1.2773660        2.4202980
  1.2766763        2.4157270
  1.2759797        2.4065820
  1.2752833        2.3995280
  1.2745868        2.3945480
  1.2738837        2.3857730
  1.2731736        2.3840010
  1.2724770        2.3855570
  1.2717738        2.3871760
  1.2710705        2.3933200
  1.2703604        2.3932860
  1.2696504        2.3902650
  1.2689338        2.3867990
  1.2682238        2.3777750
  1.2675002        2.3639870
  1.2667902        2.3541410
  1.2660735        2.3522110
  1.2653499        2.3525890
  1.2646263        2.3515650
  1.2639093        2.3495860
  1.2631792        2.3431840
  1.2624555        2.3310660
  1.2617253        2.3198850
  1.2609882        2.3098000
  1.2602647        2.3025360
  1.2595341        2.2986800
  1.2587972        2.2942000
  1.2580602        2.2876580
  1.2573229        2.2828960
  1.2565858        2.2777000
  1.2558419        2.2731200
  1.2550982        2.2710660
  1.2543541        2.2669720
  1.2536102        2.2635760
  1.2528597        2.2639980
  1.2521157        2.2641500
  1.2513650        2.2615730
  1.2506144        2.2574390
  1.2498568        2.2524470
  1.2491061        2.2459560
  1.2483488        2.2404620
  1.2475912        2.2354620
  1.2468272        2.2287600
